TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
1721400860,0,0,0,null
1721400860,1,6414.00,6219.00,null
1721400874,2,6464.00,6269.00,7373699BF5
1721400879,3,6699.00,6480.00,EC0D901422
1721400884,4,6777.00,6555.00,808CAD641A
1721400889,5,6842.00,6620.00,CCE20A
1721400894,6,6875.00,6653.00,507349
1721400898,7,6897.00,6665.00,A69B9A640A
1721400903,8,6922.00,6687.00,738C9672F5
1721400907,9,6951.00,6715.00,7369E30A
1721400912,10,6967.00,6730.00,738C96640A
1721400917,11,7013.00,6776.00,736437
1721400922,12,7026.00,6789.00,CC640A
1721400926,13,7039.00,6802.00,8C73966464649B649B9B9B9B9B9B9B9B649B9B9B9B64640E
