TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
1721420681,0,0,0,null
1721420681,1,989779.00,676095.00,null
1721420693,2,1024299.00,692887.00,6161616161616161616161616161616161616161616161616161616161616161619EF5
1721420695,3,1029320.00,695132.00,616161616161516161619A61616161616161614161616161E66161FE5F61616167610A
1721420697,4,1034758.00,697579.00,6161A59E9E9E61619E616D61616171616161616161616161616161616161616161610A
1721420699,5,1039329.00,699621.00,6161616161611961616161616161616101E061616161616161616461616161616161616161616161616161616761619E61616161DE
1721420700,6,1040004.00,699918.00,616161616161619E9E9E9E9E9E616161616161616161614261616161606161610A
1721420702,7,1047424.00,703080.00,61616D1061616161616161610167619E9E61616145616161616161616161616161619E9E929E61616161616161616161616161616161610A
1721420704,8,1057158.00,707468.00,616161616161616161616161619E9E9E9E9E61619E9E6161616161617761616161610A
1721420705,9,1066838.00,711832.00,61616161616161619E9E9E9E61616161616161616161DE1D61619E9E9E916101610A
1721420707,10,1076547.00,716033.00,619E619E6161616161616161616161616161616161616161616161616161616161610A
1721420709,11,1085201.00,720164.00,9E9E9E9E5361616161616161616161619E9E9E9E616161616161619E6161616161610A
1721420710,12,1088876.00,721780.00,616161616161619E61616161616161616161616161019E9E61616161616161610A
1721420712,13,1090635.00,722973.00,6161616161616161619E616161619E6161619B9B9B64649B649B9B9B449B9B9B9B9B9B9B616161616161616161616161616161610A
1721420713,14,1092541.00,723941.00,616161616161E06161716111117111111111111111111111111111111111116161616171616161616111111111111111111111111111111111616161617161616161616361616161616161616161610E
1721420715,15,1092542.00,723942.00,619E61616161615D61619E9E6162616101616161615D616161EE1E9E0A
1721420716,16,1093146.00,724238.00,616161616161616161616161616111E161619E9E9E9F6161616161211D9E9E9E61610A
1721420718,17,1093798.00,724485.00,6161AC61616161616161616161616161616161617B511E9E9E9EE0616161619E61619E61615461616161E1616161E061615141FD
1721420720,18,1099743.00,727140.00,6161616161616161616161616161616161616161616161616161616161619E9E9E80616161616161616161610961616161616161619E9E9E800A0A
1721420721,19,1103802.00,728852.00,616161615B61615A619E616161616161616161616161616161EA6161616161617F610A
1721420723,20,1110113.00,731487.00,6161616161616161616161616161616161D1616161616161616161616161616161E7E7E7E7E7E71818E766E7E7E7E7610A
1721420725,21,1117236.00,734408.00,6161616161216161616161616161616161616161649E616161619E9E796161610A
1721420727,22,1123007.00,736882.00,616161616161616161616161619E616161616161616161616161494949494949494949494949494949494949494961617F6121E261610A
1721420729,23,1125810.00,738045.00,61616161619E61616161616161616161619E616161616161616161617161616161610A
1721420731,24,1131824.00,740395.00,61616161E16161616161616161618761616161614D616161616161616861616161610A
1721420733,25,1138597.00,743363.00,6161616161616161616161616161616161616161616161616161616161616161616161616161616161616161619E6161616161616161610A
1721420735,26,1143633.00,745455.00,61616161616161616161616161616161616161616161616161616176767676767676767676767676767676767676766161D461610A
1721420736,27,1148559.00,747287.00,616161616160616161616161619E9E9E9E9E9E616161616161616161619E9E9E9E610A
1721420738,28,1154154.00,749569.00,61616161616161777777777777777777777777777777777777777777777777777777777777777777777777777777778989898989898989898989896161619E61619E9E9E9E61F5
1721420740,29,1157470.00,750962.00,6161616161619E9E61616161616161616161616161616161616161616161619EF5
1721420741,30,1159994.00,751991.00,616161616101E061616161616161616161616161616161616161616161616161616161616161616161610A
