TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
1721419259,0,0,0,null
1721419259,1,1020644.00,692294.00,null
1721419271,2,1083649.00,720478.00,6161616161616161616161616161616161616161616161616161616161616161619EF5
1721419273,3,1093966.00,724896.00,616161616161516161619A61616161616161614161616161E66161FE5F61616167610A
1721419275,4,1104721.00,729684.00,6161A59E9E9E61619E616D61616171616161616161616161616161616161616161610A
1721419276,5,1114558.00,733659.00,6161616161611961616161616161616101E061616161616161616461616161616161616161616161616161616761619E61616161DE
1721419278,6,1117123.00,734743.00,616161616161619E9E9E9E9E9E616161616161616161614261616161606161610A
1721419280,7,1123255.00,737487.00,61616D1061616161616161610167619E9E61616145616161616161616161616161619E9E929E61616161616161616161616161616161610A
1721419282,8,1126691.00,739022.00,616161616161616161616161619E9E9E9E9E61619E9E6161616161617761616161610A
1721419283,9,1130882.00,740825.00,61616161616161619E9E9E9E61616161616161616161DE1D61619E9E9E916101610A
1721419284,10,1133848.00,742175.00,619E619E6161616161616161616161616161616161616161616161616161616161610A
1721419287,11,1141545.00,745391.00,9E9E9E9E5361616161616161616161619E9E9E9E616161616161619E6161616161610A
1721419289,12,1147900.00,748240.00,616161616161619E61616161616161616161616161019E9E61616161616161610A
1721419304,13,1201138.00,771372.00,6161616161616161619E616161619E6161619B9B9B64649B649B9B9B449B9B9B9B9B9B9B616161616161616161616161616161610A
1721419306,14,1207968.00,774038.00,616161616161E06161716111117111111111111111111111111111111111116161616171616161616111111111111111111111111111111111616161617161616161616361616161616161616161610E
1721419327,15,1280494.00,802559.00,619E61616161615D61619E9E6162616101616161615D616161EE1E9E0A
1721419329,16,1288125.00,805507.00,616161616161616161616161616111E161619E9E9E9F6161616161211D9E9E9E61610A
1721419331,17,1294663.00,807884.00,6161AC61616161616161616161616161616161617B511E9E9E9EE0616161619E61619E61615461616161E1616161E061615141FD
1721419332,18,1299911.00,809698.00,6161616161616161616161616161616161616161616161616161616161619E9E9E80616161616161616161610961616161616161619E9E9E800A0A
1721419334,19,1306304.00,811958.00,616161615B61615A619E616161616161616161616161616161EA6161616161617F610A
1721419336,20,1313329.00,814559.00,6161616161616161616161616161616161D1616161616161616161616161616161E7E7E7E7E7E71818E766E7E7E7E7610A
