TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
1701472003,1,230.00,206.00,null
1701472014,4,447.00,367.00,2F
1701472014,5,465.00,374.00,413A
1701472014,6,473.00,376.00,62D3
1701472014,7,476.00,376.00,3B
1701472014,8,477.00,376.00,BEAA
1701472014,11,481.00,377.00,0445
1701472014,12,487.00,380.00,BE3C
1701472014,13,488.00,380.00,BE
1701472014,14,495.00,382.00,2E
1701472014,15,496.00,382.00,BA
1701472014,16,498.00,382.00,2141
1701472014,20,503.00,383.00,AFEE
1701472014,25,589.00,449.00,31
1701472014,26,590.00,449.00,BFDE
1701472014,29,594.00,449.00,BE
1701472014,33,608.00,451.00,34
1701472014,36,610.00,451.00,4173
1701472014,37,612.00,451.00,BE5D
1701472014,54,615.00,451.00,49C8
1701472015,71,616.00,451.00,EFBE
1701472015,95,631.00,458.00,31C1
1701472015,98,632.00,458.00,C6
1701472015,106,634.00,458.00,313E
1701472015,130,635.00,458.00,093D
1701472015,142,638.00,458.00,31
1701472016,161,640.00,459.00,3841
1701472016,162,641.00,459.00,8241
1701472016,195,653.00,468.00,322E
1701472016,196,662.00,471.00,22
1701472016,225,666.00,473.00,663E
1701472016,227,671.00,476.00,5DE1
1701472016,231,672.00,476.00,03
1701472016,237,674.00,477.00,74
1701472016,244,685.00,483.00,225A
1701472017,256,686.00,483.00,2642
1701472017,263,687.00,483.00,00
1701472017,270,695.00,485.00,7B
1701472017,272,699.00,486.00,5044
1701472017,282,702.00,486.00,BEBE
1701472017,283,706.00,486.00,79
1701472017,290,707.00,486.00,0D
1701472017,303,708.00,486.00,22B1
1701472017,312,715.00,487.00,39
1701472017,315,717.00,487.00,EE
1701472017,317,722.00,490.00,2D41
1701472018,376,730.00,491.00,30
1701472018,384,741.00,499.00,3931
1701472019,426,742.00,499.00,09
1701472019,470,744.00,499.00,F6
1701472020,521,745.00,499.00,DBC4
1701472020,529,747.00,499.00,7D
1701472020,533,750.00,500.00,41BE
1701472021,579,753.00,502.00,2D08
1701472021,616,754.00,502.00,305F
1701472021,634,758.00,504.00,2D
1701472022,674,759.00,504.00,54
1701472022,701,761.00,504.00,71FE
1701472022,709,768.00,508.00,7B4E
1701472022,728,770.00,508.00,4449
1701472023,764,771.00,508.00,22
1701472023,769,773.00,508.00,43
1701472023,801,775.00,508.00,E1
1701472023,821,777.00,509.00,0A41
1701472025,930,782.00,511.00,3620
1701472025,941,784.00,511.00,BABE
1701472025,948,786.00,511.00,4528
1701472025,953,787.00,511.00,0A
1701472026,1060,789.00,511.00,7B
1701472026,1068,792.00,511.00,0D39
1701472026,1069,795.00,512.00,FE39
1701472027,1120,799.00,513.00,3929
1701472027,1127,800.00,513.00,71
1701472027,1131,802.00,513.00,75B6
1701472029,1296,803.00,513.00,20
1701472030,1389,804.00,513.00,4149
1701472031,1440,805.00,513.00,20A6
1701472031,1460,810.00,516.00,5B41
1701472031,1465,815.00,519.00,98
1701472032,1467,875.00,572.00,3B
1701472032,1470,970.00,652.00,56
1701472032,1471,985.00,663.00,BE
1701472032,1473,1029.00,685.00,4341
1701472032,1475,1084.00,711.00,CABE
1701472032,1477,1100.00,719.00,157C
1701472032,1479,1112.00,728.00,C1
1701472032,1480,1114.00,728.00,BC
1701472032,1483,1118.00,728.00,36C3
1701472032,1486,1119.00,728.00,4B41
1701472032,1489,1120.00,728.00,3942
1701472032,1496,1121.00,728.00,BE2F
1701472032,1520,1122.00,728.00,41BE
1701472033,1537,1123.00,728.00,AE63
1701472033,1564,1127.00,728.00,413A
1701472033,1591,1129.00,728.00,5B
1701472033,1593,1131.00,728.00,E8B9
1701472034,1609,1133.00,728.00,71
1701472034,1676,1137.00,728.00,32
1701472035,1721,1139.00,728.00,C2
1701472036,1757,1141.00,728.00,C941
1701472036,1759,1142.00,728.00,41B9
1701472036,1786,1145.00,729.00,3239
1701472037,1837,1148.00,729.00,36
1701472037,1861,1150.00,729.00,BE
1701472037,1864,1152.00,729.00,24
1701472038,1889,1184.00,750.00,D1
1701472038,1891,1185.00,750.00,04
1701472038,1897,1186.00,750.00,D2
1701472038,1938,1187.00,750.00,4141
1701472038,1950,1189.00,750.00,41
1701472038,1955,1191.00,750.00,BE7D
1701472040,2042,1192.00,750.00,B9
1701472040,2044,1193.00,750.00,213E
1701472040,2059,1195.00,750.00,DB
1701472040,2071,1196.00,750.00,41
1701472040,2074,1198.00,750.00,3F
1701472040,2086,1199.00,750.00,61
1701472041,2143,1201.00,751.00,6E09
1701472041,2146,1203.00,751.00,38B2
1701472041,2184,1208.00,752.00,7F
