TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
0,0,0,0,0
1701443777,1,5.00,5.00,null
1701443788,4,8.00,8.00,BED245463E5647
1701443788,8,10.00,9.00,C59D4344474637
1701443788,10,18.00,16.00,36023C44454647
1701443788,18,21.00,16.00,41023C44BAB9B8
1701443788,22,22.00,16.00,414243BBFE8147
1701443788,37,36.00,30.00,5942BD5C454647
1701443788,38,40.00,31.00,BA
1701443788,39,42.00,31.00,374AB8
1701443788,47,44.00,31.00,BE3C4358BA46B5
1701443788,48,46.00,32.00,414243B40B0733
1701443788,89,47.00,32.00,1FC2BCBB91462D
1701443788,136,53.00,36.00,414228
1701443789,161,57.00,36.00,413CFC5522A6C6
1701443789,175,59.00,37.00,5F42434427D729
1701443789,176,60.00,37.00,AB42DA4632
1701443789,177,62.00,37.00,BE5C454644
1701443789,193,63.00,37.00,22A7434D3247B8
1701443789,245,64.00,37.00,0D
1701443789,250,65.00,37.00,41BD3B0B45B0B4
1701443790,271,66.00,37.00,41BD5324453E47
1701443790,272,67.00,37.00,344C
1701443790,375,68.00,37.00,B5420DC93646CA
1701443791,479,69.00,37.00,504243CD3CB9B8
1701443792,515,70.00,37.00,41424344C23E47
1701443796,1053,71.00,37.00,29B947
1701443796,1110,72.00,37.00,473D434425B129
1701443797,1281,73.00,37.00,BEBD3C787D4409
1701443798,1322,74.00,37.00,BEBD5CB8
1701443798,1376,75.00,38.00,797E3BDA3AB8
1701443798,1378,76.00,38.00,96
1701443800,1621,78.00,39.00,BE3C403C454647
1701443802,1764,79.00,39.00,B6BDBCBBBAB93E
1701443805,2113,80.00,39.00,BCBFBC5C05C57B
1701443809,2605,81.00,39.00,4147
1701443809,2618,82.00,39.00,8A
1701443810,2723,83.00,39.00,BE5C4344464647
1701443810,2778,84.00,39.00,7829B8
