TIME,ITERATIONS,EDGE_COVERAGE,BLOCK_COVERAGE,INPUT
1701481772,1,347.00,234.00,null
1701481782,2,354.00,238.00,68656C8FD7
1701481782,3,355.00,238.00,699A689A3B72283B72D7
1701481782,5,356.00,238.00,6C62286869918FD7
1701481782,7,358.00,238.00,686568556C766C812B
1701481782,12,359.00,238.00,2D
1701481782,13,360.00,238.00,689AC27028
1701481782,23,361.00,238.00,666630
1701481782,26,363.00,238.00,68656C7028
1701481782,30,364.00,238.00,6550702CF0286C
1701481782,34,365.00,239.00,25EF6C89288928
1701481782,35,366.00,239.00,6865E97028
1701481783,54,369.00,241.00,2828
1701481783,55,370.00,241.00,686C7065937028
1701481783,60,371.00,241.00,28
1701481783,87,372.00,241.00,288D84
1701481784,99,377.00,243.00,762F
1701481785,157,548.00,371.00,31
1701481785,158,549.00,371.00,679A938FD7
1701481785,169,595.00,398.00,33333333
1701481785,170,598.00,399.00,30AE2BF0
1701481785,171,599.00,399.00,689C689A6C
1701481786,179,601.00,400.00,09656C7828
1701481786,225,602.00,400.00,0D0DAB22
1701481787,271,603.00,400.00,31
1701481787,272,604.00,400.00,693B72D5
1701481789,340,653.00,426.00,65
1701481789,360,655.00,427.00,202A
1701481789,362,656.00,427.00,28DFD7
1701481789,374,657.00,428.00,29DB
1701481789,375,662.00,432.00,002B
1701481789,376,663.00,432.00,3028
1701481789,378,664.00,432.00,2838
1701481789,381,665.00,432.00,28
1701481790,400,666.00,432.00,280A
1701481790,404,717.00,453.00,2E
1701481790,405,718.00,453.00,28
1701481791,449,719.00,453.00,302808
1701481792,490,720.00,453.00,2E
1701481792,493,721.00,453.00,28
1701481792,507,722.00,453.00,3028
1701481792,515,723.00,453.00,28
1701481793,534,724.00,454.00,2C
1701481793,545,725.00,454.00,281A
1701481793,563,730.00,454.00,3636
1701481794,573,731.00,454.00,6E2F
1701481795,642,732.00,454.00,761F
1701481795,654,734.00,454.00,35
1701481796,685,736.00,454.00,00
1701481796,688,737.00,454.00,76666CCF27
1701481796,702,738.00,454.00,76656C3FD8
1701481797,739,740.00,454.00,2830D8D8
1701481798,761,742.00,455.00,763E89666C2793D8
1701481799,831,744.00,455.00,35
1701481799,834,745.00,455.00,09
1701481799,840,750.00,455.00,3030
1701481799,841,751.00,455.00,3131
1701481799,844,752.00,455.00,32
1701481800,873,753.00,455.00,3333CCCC
1701481800,874,754.00,455.00,73943335
1701481800,882,756.00,455.00,33
1701481801,887,777.00,464.00,3333332F3333
1701481801,888,778.00,464.00,33
1701481801,891,779.00,464.00,3369B9
1701481801,909,780.00,465.00,5ECC33CC
1701481801,910,781.00,465.00,333333CCCC3333A65A333CCC33CC
1701481801,923,782.00,465.00,30AED40F
1701481802,960,783.00,465.00,09656C87D7
1701481803,966,785.00,465.00,096509650965D6786C16096509656C786C
1701481803,977,786.00,465.00,2E
1701481803,989,787.00,465.00,0909656C6C87D7656C7828
1701481803,1009,788.00,465.00,09
1701481804,1012,789.00,465.00,2D
1701481805,1057,790.00,465.00,3131
1701481805,1086,791.00,465.00,3030
1701481805,1088,792.00,465.00,37
1701481808,1201,793.00,465.00,2E
1701481808,1205,794.00,465.00,2020D8
1701481808,1219,795.00,465.00,300A35
1701481811,1370,796.00,465.00,285F
1701481812,1392,797.00,465.00,00FF
1701481812,1396,798.00,465.00,00FA20
1701481812,1397,800.00,465.00,35
1701481812,1421,801.00,465.00,002C
1701481813,1435,802.00,465.00,2E9A
1701481813,1448,803.00,465.00,323250
1701481814,1484,804.00,465.00,2E
1701481814,1488,805.00,465.00,2E2E
1701481814,1513,806.00,465.00,3636
1701481814,1521,809.00,465.00,65
1701481815,1529,810.00,465.00,2E
1701481816,1576,814.00,465.00,39393939
1701481816,1603,815.00,465.00,363631
1701481816,1606,816.00,465.00,3434B6
1701481819,1753,817.00,465.00,3000
1701481819,1759,820.00,468.00,385EA5
1701481819,1764,821.00,468.00,30AC
1701481820,1793,822.00,468.00,3035
1701481820,1803,823.00,468.00,7383
1701481820,1809,840.00,475.00,2E39
1701481821,1811,849.00,481.00,2E302EB02E
1701481821,1848,850.00,481.00,3030
1701481821,1850,851.00,481.00,3333332FCCCC
1701481822,1855,853.00,481.00,332F
1701481822,1864,855.00,483.00,33332C2F3333
1701481822,1866,856.00,483.00,3334D9CCB333D0CC13
1701481822,1867,857.00,483.00,333333
1701481822,1872,858.00,483.00,2833332FB433
1701481822,1873,859.00,483.00,3333A30F3334
1701481822,1879,860.00,483.00,30CCCA5333
1701481822,1898,863.00,483.00,333030
1701481823,1920,864.00,483.00,283322
1701481823,1926,865.00,483.00,5A3355333333CC
1701481824,1961,866.00,483.00,096509099AF68A290965096593876C160965099A937C6C099AF68A290965096593876C1609F6099A937C
1701481824,1974,867.00,483.00,096509656C606B
1701481824,1982,869.00,483.00,096509250A65D6786C16096509656C786E
1701481825,2034,870.00,483.00,09650925769A29876CEFF6459A938792
1701481825,2044,871.00,483.00,652C9EDE
1701481825,2045,872.00,483.00,096539650965D67839650965D6786C16096509656C1609650965D67839657165D6786C16096509656C160965D67839
1701481826,2083,873.00,483.00,2E
1701481829,2229,874.00,483.00,14
1701481829,2231,875.00,483.00,385E38A1A1
1701481829,2234,876.00,483.00,385E5A
1701481830,2248,877.00,483.00,30DFDFDF
1701481830,2258,882.00,488.00,36453F4513
1701481830,2260,883.00,488.00,62
1701481830,2284,884.00,488.00,65
1701481831,2296,885.00,488.00,28
1701481831,2318,886.00,488.00,2E
1701481831,2324,889.00,488.00,2E2E2E39
1701481831,2330,890.00,488.00,2E2E2E39
1701481832,2336,891.00,488.00,2E2E35352E3535
1701481832,2350,894.00,489.00,2E30B0B02E
1701481832,2358,895.00,489.00,3333692F734B
1701481832,2365,896.00,489.00,6969AF3FD9
1701481832,2375,897.00,489.00,33
1701481833,2382,898.00,489.00,CCCCD3DCCC02
1701481833,2410,899.00,489.00,2D332C2FD219
1701481833,2411,901.00,489.00,303333D32F4C5333D3D04CAC53D3D0332F4CAC33D3
1701481833,2426,902.00,489.00,33312C2F332C2F3333
1701481834,2434,903.00,489.00,73332CD0CC33
1701481834,2441,910.00,492.00,333336303630
1701481834,2442,911.00,492.00,2E302C
1701481834,2459,912.00,492.00,3325
1701481835,2503,915.00,493.00,396509656C
1701481836,2550,916.00,493.00,3965F69A14606B
1701481836,2552,917.00,493.00,09
1701481838,2665,918.00,493.00,36453F45FE
1701481839,2668,919.00,493.00,3645C0B417
1701481839,2670,924.00,495.00,364536D93F433F43ECC0
1701481839,2671,927.00,495.00,30453F4513
1701481839,2673,928.00,495.00,3645C045453F4513
1701481839,2674,930.00,496.00,364500C591
1701481839,2676,931.00,496.00,364436453F3F4513
1701481839,2695,933.00,496.00,2E2E3535443548
1701481839,2697,934.00,496.00,2E2E35352E3531
1701481840,2724,936.00,496.00,282E35CACAD13535
1701481840,2725,937.00,496.00,2ED1CACAD1D135352E35BA51D135352E353535CAD1D1
1701481840,2727,938.00,496.00,2E15
1701481840,2729,939.00,496.00,2E253535D1CA35
1701481840,2732,940.00,496.00,20F7CBCAD13534
1701481840,2742,941.00,496.00,2EA935
1701481840,2744,943.00,497.00,2E2E2B352E353535352E3535353B
1701481840,2753,944.00,497.00,202E0535CBCACA
1701481841,2762,945.00,497.00,2E35
1701481841,2779,968.00,508.00,2E2E33352D2E3535
1701481841,2781,969.00,508.00,2E2E75D22E3535
1701481841,2784,970.00,508.00,2E5EB5CCF03535
1701481841,2790,971.00,508.00,2E3030404F6E404F6E
1701481842,2809,972.00,508.00,2E4F0F2E
1701481842,2828,973.00,508.00,2E
1701481844,2880,983.00,512.00,333333333930333333393333
1701481844,2881,984.00,512.00,000069
1701481844,2885,985.00,512.00,33335ECCCCA1CF3630
1701481844,2889,990.00,513.00,333330362D3036303430
1701481844,2890,991.00,513.00,30705C
1701481845,2925,992.00,513.00,0A
1701481845,2932,993.00,513.00,3965099A93
1701481846,2944,994.00,513.00,6509656C395909656C
1701481846,2947,995.00,513.00,3625B7BE43ECC0D923BD03ECC043ECC0D923BE43ECC0
1701481846,2951,996.00,513.00,36453626C0BC3F43ECC0
1701481846,2952,997.00,513.00,3645C9D9C0BCC1BCECC0
1701481846,2965,998.00,513.00,2D
1701481846,2972,999.00,513.00,36453136D93FEEC0BC133F36C93FEEC0BC133F
1701481846,2974,1000.00,513.00,364536D97FC34443ECC0
1701481847,3015,1001.00,513.00,3645003A6E
1701481848,3056,1002.00,513.00,364500364500C94500
1701481849,3081,1003.00,513.00,3645FF3A82
1701481849,3107,1006.00,513.00,2E
1701481851,3160,1008.00,513.00,2B352E
1701481851,3173,1009.00,513.00,2E35D4CA2E3535352E2E2B352E35354D352E353535CAD13535353B
1701481852,3190,1010.00,514.00,2E2E2B352E3535352E2E2B352E3535352E2E2B352E3535352E2E2B352E3535352E2E2B352E3535353D2E352E2E2B352E3535352E2ED4352E2E2B352E3535352E2E2B352E3535352E2E2B352E3535352E2E2B352E3535353D2E352E2E2B35
1701481852,3191,1011.00,514.00,2E2E2B352ECAFCCACC2E353E353B
1701481852,3197,1012.00,514.00,2E2ED435D1CACA35352E3535353B
1701481852,3198,1013.00,514.00,2E2D2B372E353535352E2535353B
1701481852,3205,1015.00,514.00,2E2E2B352E352B2E352B352E35352E352B352E35353535353B3535352E3535353B
1701481852,3206,1016.00,514.00,3545FACA2E3D3DCA3B2E2E2B352E3545FACA2E3D3DCA3B
1701481853,3236,1017.00,514.00,2E2A2BCA944ACA22352E2B35353B
1701481853,3237,1018.00,514.00,2E2E30352E33353535533535353B
